id,name,town,current_category,subcategory,website,tier,confidence,reasoning,suggested_category,meta_excerpt
49,19 Prime Steak House,Edgartown,Restaurant,,http://19primesteak.com/,Tier 2,high,name matches food/dining (\bsteak\s+house\b),,
185,7a Foods Martha's Vineyard,West Tisbury,Restaurant,,http://7afoods.com/,Tier 2,low,fallback: current category is restaurant/food,,OPEN DAILY 7AM-5PM
129,Aalias Coffee,Oak Bluffs,Restaurant,,http://aaliascoffee.com/,Tier 2,high,name matches food/dining (\bcoffee\b),,"coffee, iced coffee, oak bluffs, breakfast, breakfast sandwich, matcha, new england, hashbrowns, cappuccino, americano, latte, iced latte, salad, sandwich"
724,Alchemy,Edgartown,Restaurant,,https://www.alchemyedgartown.com/,Tier 2,high,"meta confirms restaurant (['restaurant', 'cuisine'])",,
54,Among the Flowers,Edgartown,Restaurant,,http://amongtheflowersmv.com/,Tier 2,high,"meta confirms restaurant (['restaurant', 'cuisine'])",,
720,Art Cliff Diner,Vineyard Haven,Restaurant,,http://artcliffdiner.com,Tier 2,high,name matches food/dining (\bdiner\b),,
191,Artcliff Diner,Vineyard Haven,Restaurant,,http://artcliffdiner.com/,Tier 2,high,name matches food/dining (\bdiner\b),,
712,Atria,Edgartown,Restaurant,,https://www.atriamv.com/,Tier 2,high,"meta confirms restaurant (['restaurant', 'dining'])",,"Seasonal New American cooking served in the smart dining room, wraparound porch or homey cellar bar. Located in Edgartown, MA."
217,Authentic Italian Food,Vineyard Haven,Restaurant,,http://salvatoresristorante.com/,Tier 2,low,fallback: current category is restaurant/food,,At Salvatore’s Ristorante we celebrate authentic Italian food. Naples-born chef Salvatore della Torre grew up helping his grandmother...
131,Back Door Donuts,Oak Bluffs,Restaurant,,http://backdoordonuts.com/,Tier 2,high,name matches food/dining (\bdonuts?\b),,Hot fresh apple fritters & donuts are served at Back Door Donuts. Take in another beautiful evening on the Vineyard and mull over your options. We can
60,Bad Martha Beer,Edgartown,"Restaurants, Food & Beverages",,http://badmarthabeer.com/,Tier 2,low,fallback: current category is restaurant/food,,Dance with a stranger. Give out your real number. Convince someone that&#039;s your yacht moored outside the harbor. Visit Bad Martha Beer Today!
133,Bangkok Cuisine,Oak Bluffs,Restaurant,,http://bangkokcapecod.com/,Tier 2,low,fallback: current category is restaurant/food,,"Bangkok Cuisine offers you the best Thai food on Cape Cod for locals and for visitors who travel from afar. We&#039;re located in Plymouth, Falmouth, Mashpee, Hyannis, S. Dennis, Orleans, and Oakbluff…"
718,Beetlebung Farm,Chilmark,Restaurant,,https://www.beetlebungfarm.org/,Tier 2,low,fallback: current category is restaurant/food,,
62,Behind the Bookstore,Edgartown,Restaurant,,http://btbmv.com/,Tier 2,high,"meta confirms restaurant (['restaurant', 'breakfast', 'lunch'])",,"Coffee shop and kitchen on main street in Edgartown, Martha's Vineyard. Serving breakfast, lunch and dinner."
135,Benandbills,Oak Bluffs,Restaurant,,http://benandbillsmv.com/,Tier 2,low,fallback: current category is restaurant/food,,"Ben &amp; Bill’s in Martha’s Vineyard offers handmade chocolates, fudge, and homemade ice cream. A local favorite for fresh, small-batch sweets."
710,Biscuits,Oak Bluffs,Restaurant,,https://www.mvbiscuits.com/,Tier 2,high,name matches food/dining (\bbiscuits\b),,"Biscuits is a family-owned breakfast and lunch restaurant located in Oak Bluffs, Martha’s Vineyard, open daily from 7 a.m. to 3 p.m"
66,Black Sheep,Edgartown,Restaurant,,http://blacksheeponmv.com/,Tier 2,high,"meta confirms restaurant (['dinner', 'catering', 'eat '])",,"Prepared gourmet food, sandwiches, heat and serve dinners, cheese, charcuterie and pantry items. Catering.  Beach and boat provisioning.  Plus shop for gifts and tableware.  Black Sheep Mercantile."
68,Blackbird Cafe,Edgartown,Restaurant,,http://myblackbirdcafe.com/,Tier 2,high,name matches food/dining (\bcafe\b),,"Offering freshly made breakfast &amp; lunch all day! Serving gourmet, locally sourced coffee &amp; tea, fresh bakery, breakfast sides, cooler drinks, salads, snacks, and desserts."
196,Bobby B's,Oak Bluffs,Restaurant,,http://bobbybsmv.com/,Tier 2,high,"meta confirms restaurant (['restaurant', 'breakfast', 'dinner'])",,"Located right in the heart of Vineyard Haven, Martha’s Vineyard, our restaurant is where friends and family come together to enjoy meals that are simple, fresh, and made with care. From breakfast to d…"
198,Catboat Coffee Co.,Vineyard Haven,Restaurant,,https://catboatcoffee.com/,Tier 2,high,name matches food/dining (\bcoffee\b),,"A year-round coffee shop that combines specialty beverages, Lebanese food, and island-made items. Now Open 79 Beach Road, Vineyard Haven JOIN OUR EMAIL NEWSLETTER Stay in Touch! Sign up for our email …"
70,Chesca,Edgartown,Restaurant,,http://chescasmv.com/,Tier 2,high,"meta confirms restaurant (['restaurant', 'dining', 'dinner'])",,Italian-American dishes star at this upscale bistro serving pre-dinner drinks on its quaint porch.
43,Chilmark Tavern,Chilmark,Restaurant,,http://chilmarktavern.com/,Tier 2,high,name matches food/dining (\btavern\b),,
72,China House,Edgartown,Restaurant,,http://mvchinahouse.com/,Tier 2,low,fallback: current category is restaurant/food,,
141,Coop de Ville,Oak Bluffs,Restaurant,,http://coopdevilleshuckshack.com/,Tier 2,low,fallback: current category is restaurant/food,,
74,Cozy Corner Cafe,Edgartown,Restaurant,,https://cozycornermv.com/,Tier 2,high,name matches food/dining (\bcafe\b),,"Cozy Corner Cafe is a European themed, modern cafe serving high end single origin coffee &amp; espresso, breakfast sandwiches, paninis, full service smoothie, açai and many more."
496,Darosa's,Vineyard Haven,Restaurant,,http://darosasmv.com/,Tier 2,low,fallback: current category is restaurant/food,,
200,Delicious MV,Oak Bluffs,Restaurant,,http://deliciousmv.com/,Tier 2,low,fallback: current category is restaurant/food,,"The Best Bakery on Marthas Vineyard! We serve authentic French breads, extra-rich handmade ice cream, and some of the most delicious desserts you ever tried."
143,Dos Mas MV,Oak Bluffs,Restaurant,,http://dosmasmv.com/,Tier 2,low,fallback: current category is restaurant/food,,"Fresh, tasty, Mexican cuisine on Circuit ave in Oak Bluffs. Get you&#x27;re meat, or meatless options with or without Gluten! food"
76,Détente,Edgartown,Restaurant,,http://detentemv.com/,Tier 2,high,"meta confirms restaurant (['restaurant', 'cuisine'])",,WE ARE CURRENTLY CLOSED FOR THE SEASON - SEE YOU IN THE SPRING!!
