id,name,town,current_category,subcategory,website,tier,confidence,reasoning,suggested_category,meta_excerpt
679,A. P. Fortes Plumbing and Heating,Vineyard Haven,Home Services & Trades,,https://gomarthasvineyard.com/directory/p-fortes-plumbing-and-heating,Tier 4,high,"name matches property/contractor (\bplumb, \bheating\b)",,Plumbing and Heating Contractors.
678,Brewer Insect & Animal Spraying,Edgartown,Other,,https://www.brewerspraying.com/,Tier 4,high,name matches property/contractor (\bspray),,"MARTHA’S VINEYARD BASED PROFESSIONAL INSECT &amp; ANIMAL SPRAYING. SPECIALIZING IN MOSQUITO, TICK, DEER, AND RODENT ANT PREVENTITIVE TREATMENTS. PEST CONTROL"
677,Brissette Electric Inc.,Vineyard Haven,Community,,http://briselectric.com/,Tier 4,high,name matches property/contractor (\belectric\b),home-services-and-trades,
681,"Callahan Plumbing and Heating, INC",Vineyard Haven,Home Services & Trades,,https://gomarthasvineyard.com/directory/callahan-plumbing-and-heating-inc,Tier 4,high,"name matches property/contractor (\bplumb, \bheating\b)",,
503,"E. C. Cottle, Inc.",Edgartown,Shopping & Retail,,http://eccottle.com/,Tier 4,medium,meta mentions contractor work: ['masonry'],,"E.C. Cottle, Inc. is a full-service, family owned and operated lumberyard serving homeowners and building professionals on Martha’s Vineyard. With two locations in West Tisbury and Edgartown, and a sp…"
286,Eisenhauer Gallery,Edgartown,Arts & Entertainment,,http://eisenhauergallery.com/,Tier 4,medium,meta mentions contractor work: ['painting'],,"The Eisenhauer Gallery is known for its eclectic paintings and playful but elegant showroom. Over 40 artists from places as far away as New Zealand and as local as Chilmark, MA showcase work that stim…"
667,Erica Wilson INC,Edgartown,Contractors,,https://ericawilson.com/,Tier 4,low,fallback: current category is contractor,,"Founded 1963. Women&#39;s contemporary lifestyle fashion brand featuring pajamas, dresses, and needlepoint celebrating the landscape and lifestyle of Nantucket, born from America&#39;s First Lady of s…"
683,Hutker Architects INC,Vineyard Haven,Healthcare,,http://www.hutkerarchitects.com/,Tier 4,high,name matches property/contractor (\barchitect),building-and-construction,"For more than 25 years, the team at Hutker Architects has been helping families and individuals create one-of-a-kind homes in New England."
671,Lani Beach Club,Vineyard Haven,Contractors,,http://www.lanibeachclub.com/,Tier 4,low,fallback: current category is contractor,,
673,Lilly Pulitzer,Edgartown,Contractors,,https://www.lillypulitzer.com/store/details/?storeId=80228-289&city=edgartown&utm_source=gmb&utm_medium=organic,Tier 4,low,fallback: current category is contractor,,"Shop Lilly Pulitzer&rsquo;s women&rsquo;s clothing, accessories, and more at Edgartown in Edgartown. See more for contact information, directions, and find other Lilly Pulitzer stores near you!"
680,Lowe Energy Design Inc.,Vineyard Haven,Building & Construction,,https://www.loweenergydesign.com/,Tier 4,high,name matches property/contractor (\benergy\s+design\b),,"Lowe Energy Design Inc. is your number one HVAC contractor in West Tisbury, Massachusetts.  With over 27 years of experience, trust Lowe Energy Design Inc. to get the job done right!"
658,M&b Remodeling,Vineyard Haven,Other,,http://vineyardhomecenter.com/,Tier 4,high,name matches property/contractor (\bremodel),,
569,Martha's Vineyard Tile Company Inc.,Vineyard Haven,Other,,http://mvtileco.com/,Tier 4,high,name matches property/contractor (\btile\s+company\b),,
672,Rainy Day,Vineyard Haven,Contractors,,http://rainydaymv.com/,Tier 4,low,fallback: current category is contractor,,"A boutique retail store in Vineyard Haven, MA - from kids clothes, to house ware, jewelry, and trinkets; there is something for everyone!"
