id,name,town,current_category,subcategory,website,tier,confidence,reasoning,suggested_category,meta_excerpt
276,51art Gallery Located at the Shoppe With the Red Door,Vineyard Haven,Shopping & Specialty Retail,,http://www.theshoppewiththereddoor.com/,Tier 3,high,"name matches retail/wellness (\bgallery\b, \bshoppe\b)",,
351,Airportfitness,Unknown,Health & Wellness,,http://airportfitnessmv.com/,Tier 3,high,current category=retail/wellness + meta supports (['health club']),,"Welcome to Airport Fitness, Martha’s Vineyard’s premier year-round fitness facility. Join our community and achieve your fitness goals today!"
229,Allen Farm Sheep & Wool Company,Chilmark,Shopping & Specialty Retail,,http://allenfarm.com/,Tier 3,low,fallback: current category is shopping/retail,,"The Allen Farm, Martha’s Vineyard’s oldest historic farm, is located on South Road in Chilmark, Massachusetts. Since 1762, more than 13 generations of farmers continue to share the same lineage and th…"
361,"Allyson Cook Metell, Lmt & Associates",Vineyard Haven,Health & Wellness,,http://allysonlmt.com/,Tier 3,high,current category=retail/wellness + meta supports (['massage therapy']),,Allyson Cook provides world-class massage therapy in Vineyard Haven MA. Call and start improving your health today: (508) 696-1863
10,Aquinnah Shop,Aquinnah,Shopping & Specialty Retail,,https://www.tripadvisor.com/Restaurant_Review-g499462-d790513-Reviews-Aquinnah_Shop-Aquinnah_Martha_s_Vineyard_Massachusetts.html,Tier 3,high,name matches retail/wellness (\bshop\b),,
353,B Strong,Oak Bluffs,Health & Wellness,,http://b-strong.com/,Tier 3,low,fallback: current category is wellness/beauty,,"In business for over 15 years, our  little gym located in Oak Bluffs, MA. on Martha"
637,Boneyard Surf Co,Oak Bluffs,Shopping & Retail,,http://boneyardmv.com/,Tier 3,low,fallback: current category is shopping/retail,,A Martha&#39;s Vineyard surf brand.
399,Book a Hostel,Unknown,Other,,http://hiusa.org/,Tier 3,high,name matches retail/wellness (\bbooks?\b),,"HI USA youth hostels are affordable and welcome adults and guests of all ages. Plus, our on-site staff have insider tips to help you live like a local."
470,Brickman's,Vineyard Haven,Shopping & Retail,,http://brickmans.com/,Tier 3,low,fallback: current category is shopping/retail,,Brickman&#39;s
6,Bunch of Grapes Bookstore,Vineyard Haven,Shopping & Retail,,https://www.bunchofgrapes.com,Tier 3,high,name matches retail/wellness (\bbookstore\b),,
695,C'est La Vie,Vineyard Haven,Shopping & Retail,,https://gomarthasvineyard.com,Tier 3,low,fallback: current category is shopping/retail,,"Martha&#039;s Vineyard vacation portal with Island travel guides &amp; business directory check Martha&#039;s Vineyard ferry schedules, things to do, weather, events, book hotels rental homes get rest…"
478,Cb Stark Jewelers,Unknown,Shopping & Retail,,http://cbstark.com/,Tier 3,high,name matches retail/wellness (\bjewelers?\b),,CB Stark Jewelers is renowned jewelry store on Martha’s Vineyard and beyond. From hip and casual to upscale and elegant. Schedule an appointment today!
41,Chilmark General Store,Chilmark,Shopping & Specialty Retail,,http://chilmarkgeneralstore.com/,Tier 3,high,name matches retail/wellness (\bstore\b),,"We pride ourselves on being a community market where you can shop for everyday basics, fresh local produce, specialty foods, and household necessities."
487,Claudia Jewelry,Edgartown,Shopping & Retail,,http://claudia.jewelry/,Tier 3,high,name matches retail/wellness (\bjewelry\b),,
491,Conrado®,Vineyard Haven,Shopping & Retail,,http://shopconrado.com/,Tier 3,high,current category=retail/wellness + meta supports (['clothing']),,"A sustainable clothing store and womenswear brand designed with love on Martha&#39;s Vineyard. Made by artisans in the Philippines using deadstock fabric. Find dresses, jumpsuits, and clothing inspire…"
270,Conroy Apothecary,Vineyard Haven,Medical Services & Providers,,http://conroy-apothecary.com/,Tier 3,high,name matches retail/wellness (\bapothecary\b),,"Your one-stop shop in West Tisbury on Martha&#39;s Vineyard for health, wellness, and seasonal gifts."
493,Crane Appliance,Vineyard Haven,Other,,http://craneappliance.com/,Tier 3,high,name matches retail/wellness (\bappliance\b),,"Crane Appliance specializing in . Serving East Falmouth, Vineyard Haven, Orleans, Oak Bluffs, Hyannis, Sandwich, Edgartown, Chilmark, Barnstable, Osterville and..."
239,Cronigs Market,Vineyard Haven,Shopping & Specialty Retail,,http://cronigsmarket.com/,Tier 3,low,fallback: current category is shopping/retail,,"There’s no substitute for quality, There’s no market like Cronig’s. learn more about our history and commitment here &gt;&gt; There’s no substitute for quality, There’s no market like Cronig’s. learn …"
355,Crossfitmarthas,Unknown,Health & Wellness,,http://crossfitmarthasvineyard.com/,Tier 3,low,fallback: current category is wellness/beauty,,Buy crossfitmarthasvineyard.com for 195 on GoDaddy via ExpiredDomains.com. This premium expired .com domain is ideal for Crossfit projects. Secure it today!
499,Divine Beauty + Wellness,Edgartown,Health & Wellness,,http://divinemv.com/,Tier 3,high,name matches retail/wellness (\bbeauty\b),,EXPERIENCE BEAUTY &amp; WELLNESS AT THE #1 award-winning spa on Martha
507,East Chop Sleep Shop,Vineyard Haven,Shopping & Retail,,http://eastchopsleepshop.com/,Tier 3,high,name matches retail/wellness (\bshop\b),,
510,Edgartown Books,Edgartown,Other,,http://edgartownbooks.com/,Tier 3,high,name matches retail/wellness (\bbooks?\b),,
515,Edgartown Hardware,Edgartown,Other,,http://edgartownhardware.com/,Tier 3,high,name matches retail/wellness (\bhardware\b),,
376,Edgartown Martha's Vineyard Hot Yoga Studio/yoga on the Vine,Edgartown,Health & Wellness,,http://yogaonthevine.com/,Tier 3,high,name matches retail/wellness (\byoga\b),,"Yoga on the Vine is the Martha’s Vineyard’s go-to yoga studio. Hot yoga and non-heated classes: Vinyasa, Yin, Pilates, Yoga Sculpt, Sound Baths, Beach Yoga. With small class sizes, a welcoming communi…"
518,Edgartown Paint Shoppe,Edgartown,Shopping & Retail,,http://edgartownpaintshoppe.com/,Tier 3,high,name matches retail/wellness (\bshoppe\b),,
290,Field Gallery,West Tisbury,Arts & Entertainment,,http://fieldgallery.com/,Tier 3,high,name matches retail/wellness (\bgallery\b),,Fine Art at Field Gallery
520,Fine Fettle Dispensary,Edgartown,Shopping & Retail,,http://finefettle.com/,Tier 3,low,fallback: current category is shopping/retail,,"Visit Fine Fettle, a trusted cannabis dispensary offering medical &amp; recreational cannabis products at 10+ locations across CT, MA, and GA."
523,Good Dog Goods,Vineyard Haven,Shopping & Retail,,http://gooddoggoods.com/,Tier 3,low,fallback: current category is shopping/retail,,"Good Dog Goods, Great Dog Essentials for Good Dogs"
7,Granary Gallery,West Tisbury,Arts & Entertainment,,https://www.granarygallery.com,Tier 3,high,name matches retail/wellness (\bgallery\b),,"A Fine American Art destination on Martha’s Vineyard representing Island Artists, alongside national, regional and exciting, emerging talent. A warm welcome awaits."
525,Granite Five & Ten,Edgartown,Shopping & Retail,,http://granitestores.com/,Tier 3,high,current category=retail/wellness + meta supports (['merchandise']),,Granite Five & Ten is Martha
89,Great Harbor Market,Edgartown,Shopping & Specialty Retail,,http://greatharbormarket.com/,Tier 3,low,fallback: current category is shopping/retail,,"Great Harbor Market in Edgartown offers fresh salads, hot and cold sandwiches and amazing Brazilian specialties all year long - come check out our daily specials!"
690,Handworks,Oak Bluffs,Shopping & Retail,,https://www.handworksgifts.com/,Tier 3,low,fallback: current category is shopping/retail,,"Authorized Dealer For Department 56 Villages (current & Retired), Byers Choice, Harbour Lights Lighthouses, Cat"
692,Harbor Craft Shop,Vineyard Haven,Shopping & Retail,,https://business.mvy.com/memberdirectory/Details/harbor-craft-shop-2286320,Tier 3,high,name matches retail/wellness (\bshop\b),,
688,Hatmarcha Gifts,Chilmark,Shopping & Retail,,https://www.hatmarchagifts.com/,Tier 3,high,name matches retail/wellness (\bgift),,"Hatmarcha Gifts is a Wampanoag-owned family business at the Gay Head Cliffs on Martha’s Vineyard. We carry Wampanoag-made wampum jewelry, scrimshaw, turquoise and silver jewelry, unique t-shirts and a…"
359,Hot Yoga MV,Vineyard Haven,Health & Wellness,,http://hotyogamv.com/,Tier 3,high,name matches retail/wellness (\byoga\b),,HOT YOGA MV is a beautiful hot yoga studio located on the magical island of Martha
685,Interiors Studio Martha's Vineyard,Vineyard Haven,Healthcare,,http://www.interiorsstudiomv.com/,Tier 3,low,fallback: current category is wellness/beauty,,
532,Island Aesthetics,Vineyard Haven,Other,,http://islandaestheticsmv.com/,Tier 3,high,name matches retail/wellness (\baesthetic),,
293,Island Folk Pottery,Chilmark,Arts & Entertainment,,http://islandfolkpottery.com/,Tier 3,high,name matches retail/wellness (\bpottery\b),,
668,Island Outfitters Oak Bluffs,Oak Bluffs,Contractors,,http://islandoutfittersmv.com/,Tier 3,high,name matches retail/wellness (\boutfitters?\b),,"Mens and Womens retail shop located in the post office sqaure in the town of Oak Bluffs on Martha&#39;s Vineyard. We are a hop, skip, and a jump away from the ferry. Come see what we are up to, 7 days…"
534,Islandalpaca,Vineyard Haven,Shopping & Retail,,http://islandalpaca.com/,Tier 3,high,current category=retail/wellness + meta supports (['clothing']),,"island alpaca has for sale alpaca of superior fiber quality, conformation excellent genetic lines, with a farm store with alpaca clothing on sale."
260,Jim's Package Store,Oak Bluffs,Shopping & Specialty Retail,,http://jimspackagestore.com/,Tier 3,high,"name matches retail/wellness (\bstore\b, \bpackage\s+store\b)",,
91,Katama General Store,Edgartown,Restaurant,,http://katamageneral.com/,Tier 3,high,name matches retail/wellness (\bstore\b),,
687,Kin MV,Edgartown,Shopping & Retail,,http://kinmv.com/,Tier 3,low,fallback: current category is shopping/retail,,
544,King's Barber Shop,Vineyard Haven,Health & Wellness,,http://kingsbarbershopmv.com/,Tier 3,high,"name matches retail/wellness (\bshop\b, \bbarber\b)",,Kings Barbershop located on Martha
546,Kismet Outfitters,Edgartown,Other,,http://kismetoutfitters.com/,Tier 3,high,name matches retail/wellness (\boutfitters?\b),,Kismet Outfitters
549,Larry's Tackle Shop,Edgartown,Shopping & Retail,,http://larrystackle.com/,Tier 3,high,name matches retail/wellness (\bshop\b),,"Established in 1947, Larry"
551,Lazy Frog,Oak Bluffs,Shopping & Retail,,http://lazyfrogmv.com/,Tier 3,low,fallback: current category is shopping/retail,,"The Lazy Frog is a store located in Oak Bluffs on the island of Martha&#39;s Vineyard. We offer game, sport and fun."
295,Louisa Gould Gallery,Vineyard Haven,Arts & Entertainment,,http://louisagould.com/,Tier 3,high,name matches retail/wellness (\bgallery\b),,Louisa Gould Gallery was voted the best Martha
297,MV Glassworks,West Tisbury,Arts & Entertainment,,http://mvglassworks.com/,Tier 3,high,name matches retail/wellness (\bglassworks\b),,Welcome to Martha
300,MV Museum,Vineyard Haven,Arts & Entertainment,,http://mvmuseum.org/,Tier 3,high,name matches retail/wellness (\bmuseum\b),,"Explore Martha’s Vineyard Museum: exhibitions, family programs, and historic collections that connect visitors to the Island’s diverse heritage."
262,MV Wine Store,Edgartown,Shopping & Specialty Retail,,http://mvwinestore.com/,Tier 3,high,name matches retail/wellness (\bstore\b),,
557,Maggie's Salon,Vineyard Haven,Other,,http://maggiessalon.com/,Tier 3,high,name matches retail/wellness (\bsalon\b),,Maggie
696,Mardell's Gifts & Jewelry,Vineyard Haven,Shopping & Retail,,https://business.mvy.com/memberdirectory/Details/mardell-s-gifts-jewelry-2286091,Tier 3,high,"name matches retail/wellness (\bjewelry\b, \bgift)",,
565,Martha's Vineyard Made,West Tisbury,Shopping & Retail,,http://marthasvineyardmade.com/,Tier 3,high,current category=retail/wellness + meta supports (['online store']),,"Shop our exclusive online store featuring locally made Martha’s Vineyard products including jewelry, pottery, art and gift boxes. Enjoy shopping and supporting Martha’s Vineyard Makers just like you w…"
670,"Martha's Vineyard, Ma Store Location",Edgartown,Contractors,,https://charlestonshoeco.com/pages/marthas-vineyard-ma,Tier 3,high,name matches retail/wellness (\bstore\b),,"Explore Charleston Shoe Co. in Martha&amp;#39;s Vineyard, MA for chic and comfortable women&amp;#39;s footwear. Shop our collection designed for modern women."
375,Marthas Vineyard Yoga Barn,West Tisbury,Restaurant,,http://marthas-vineyard-yoga-barn.com/,Tier 3,high,name matches retail/wellness (\byoga\b),,
364,Megan Grennan Yoga,West Tisbury,Health & Wellness,,http://meganyogamv.com/,Tier 3,high,name matches retail/wellness (\byoga\b),,"For 25 years Megan has been teaching students with integrity, insight and love to use the ancient practice of yoga to better know themselves. Mirroring students back to the perfect system of guidance …"
45,Menemsha Gallery,Chilmark,Arts & Entertainment,,http://menemshagallery.com/,Tier 3,high,name matches retail/wellness (\bgallery\b),,
304,Merry Farm Pottery,West Tisbury,Arts & Entertainment,,http://merryfarmpottery.com/,Tier 3,high,name matches retail/wellness (\bpottery\b),,Micah Thanhauser functional and ceremonial pottery for home and altar. Handmade in NC.
308,Moore Family Gallery,Oak Bluffs,Arts & Entertainment,,http://moorefamilygallery.com/,Tier 3,high,name matches retail/wellness (\bgallery\b),,
693,Neptune's Sea Chest,Vineyard Haven,Shopping & Retail,,https://business.mvy.com/memberdirectory/Details/the-sea-chest-2286577,Tier 3,low,fallback: current category is shopping/retail,,
583,North Line Shell,Edgartown,Shopping & Retail,,http://northlineshell.com/,Tier 3,high,current category=retail/wellness + meta supports (['retail']),,"North Line Shell offers a full convenience store, automatic car wash, vacuums, air pump, propane exchange.We sell fresh breakfast and lunch sandwiches made daily at  https://greatharbormarket.com/"
694,Off Main,Vineyard Haven,Shopping & Retail,,https://gomarthasvineyard.com/directory/main,Tier 3,low,fallback: current category is shopping/retail,,"Wide variety of knick knacks home decor, books, old fashioned toys and baby clothes at reasonable prices."
691,Olive Branch Fair Trade,Vineyard Haven,Shopping & Retail,,http://www.olivebranchfairtrade.org/,Tier 3,high,"current category=retail/wellness + meta supports (['apparel', 'shop online'])",,"Shop Olive Branch Fair Trade for ethical apparel, olive oils, and more. Support artisans from Palestine and beyond. Visit or shop online."
357,Optometrist in Harvard Square,Vineyard Haven,Health & Wellness,,http://harvardsquareeyecare.com/,Tier 3,high,name matches retail/wellness (\boptometr),,"Harvard Square Eye Care offers comprehensive eye exams, dry eye treatment, and a curated selection of designer eyewear in Cambridge, Massachusetts."
365,Peakedhillstudio,Chilmark,Health & Wellness,,http://peakedhillstudio.com/,Tier 3,low,fallback: current category is wellness/beauty,,
